name,fifa_id,mark
210468,I. Kutepov,Right
193525,Mário Fernandes,Right
211592,A. Semenov,Right
187347,I. Smolnikov,Right
187415,V. Granat,Right
112542,S. Ignashevich,Right
181795,F. Kudryashov,Right
222368,A. Miranchuk,2
222368,A. Miranchuk,2
225663,A. Golovin,Right
223058,D. Kuzyaev,Right
213160,R. Zobnin,Right
206225,D. Cheryshev,2
216335,Y. Gazinskiy,Right
203629,A. Erokhin,Right
,,-1
147621,A. Samedov,Right
154950,Y. Zhirkov,Right
187607,A. Dzyuba,Right
187491,F. Smolov,Right
,,-1
,,-1
225060,M. Hawsawi,1
,,-1
,,-1
210147,M. Al Harbi,Right
191256,O. Hawsawi,Right
237721,A. Alkhaibari,Right
220075,M. Kanno,Right
,,-1
210602,S. Al Dawsari,Right
,,-1
,,-1
191269,S. Al Faraj,Right
,,-1
,,-1
,,-1
208977,F. Al Muwallad,1
,,-1
208916,M. Al Sahlawi,Right
,,-1
212783,O. Gaber,Right
,,-1
,,-1
,,-1
,,-1
,,-1
,,-1
233600,A. Warda,Right
,,-1
219740,Kahraba,Right
213051,M. Elneny,Right
197975,S. Morsy,Right
222134,T. Hamed,Right
197300,A. El-Said,Right
170828,Shikabala,Right
,,-1
233601,R. Sobhi,Right
211453,M. Mohsen,Right
,,-1
216460,J. Giménez,Right
,,-1
239423,N. da Silva,4
197655,S. Coates,Right
182493,D. Godín,Right
182495,M. Cáceres,Right
,,-1
,,-1
223959,L. Torreira,Right
230965,N. Nández,Right
,,-1
213400,D. Laxalt,2
219985,M. Vecino,Right
189338,J. Urretaviscaya,Right
205510,C. Sánchez,Right
170664,C. Rodríguez,1
228713,M. Gómez,2
186537,C. Stuani,Right
179813,E. Cavani,Right
176580,L. Suárez,Right
239818,Rúben Dias,1
210243,Ricardo Pereira,Right
209889,R. Guerreiro,Right
,,-1
204614,Mário Rui,1
171791,José Fonte,Right
138110,Bruno Alves,Right
120533,Pepe,Right
218667,Bernardo Silva,1
212198,Bruno Fernandes,2
224411,Gonçalo Guedes,Right
212814,João Mário,Right
207566,William Carvalho,Right
162347,João Moutinho,Right
184826,Adrien Silva,1
157960,Manuel Fernandes,1
20775,Quaresma,Right
227055,Gelson Martins,Right
228941,André Silva,Right
20801,Cristiano Ronaldo,Right
234035,Odriozola,Right
204963,Carvajal,Right
200724,Nacho Fernández,Right
189332,Jordi Alba,1
184432,Azpilicueta,Right
152729,Piqué,Right
177604,Nacho Monreal,Right
155862,Sergio Ramos,1
220834,Marco Asensio,Right
,,-1
193747,Koke,Right
,,-1
197781,Isco,Right
,,-1
189511,Sergio Busquets,Right
168542,David Silva,1
41,Iniesta,Right
,,-1
192629,Iago Aspas,Right
179844,Diego Costa,1
238346,H. Mendyl,Right
235212,A. Hakimi,Right
234514,O. El Hajjam,Right
177509,M. Benatia,Right
177533,Manuel da Costa,1
,,-1
230042,Y. Ait Bennasser,Right
224158,S. Amrabat,Right
208670,H. Ziyech,Right
,,-1
193738,Y. Belhanda,Right
205083,F. Fajr,Right
,,-1
177525,N. Dirar,Right
,,-1
162329,K. El Ahmadi,Right
,,-1
235410,Y. En-Nesyri,Right
210439,K. Boutaïb,Right
188305,A. Bouhaddouz,Right
233218,M. Mohammadi,Right
,,-1
,,-1
,,-1
239675,R. Rezaeian,Right
,,-1
,,-1
,,-1
233241,S. Ezatolahi,Right
,,-1
,,-1
,,-1
,,-1
,,-1
215871,A. Jahanbakhsh,Right
231949,S. Ghoddos,Right
213955,S. Azmoun,Right
,,-1
197136,K. Ansarifard,Right
189717,R. Ghoochannejhad,Right
226851,B. Pavard,Right
220814,L. Hernández,1
225850,P. Kimpembe,Right
204884,B. Mendy,1
205600,S. Umtiti,Right
201535,R. Varane,Right
,,-1
183280,A. Rami,Right
219683,C. Tolisso,Right
215914,N. Kanté,1
213565,T. Lemar,Right
195864,P. Pogba,Right
187936,S. N'Zonzi,Right
170890,B. Matuidi,Right
231747,K. Mbappé,Right
231443,O. Dembélé,1
216594,N. Fekir,Right
204970,F. Thauvin,Right
194765,A. Griezmann,Right
178509,O. Giroud,Right
229585,M. Degenek,Right
202678,J. Risdon,Right
199000,T. Sainsbury,Right
202157,A. Behich,Right
192250,M. Jurman,Right
173450,J. Meredith,Right
234867,D. Arzani,Right
212075,A. Nabbout,Right
237538,F. Rogic,Right
211378,J. Irvine,Right
205347,M. Luongo,Right
194958,A. Mooy,Right
195033,M. Leckie,Right
,,-1
176992,M. Milligan,Right
212232,J. Maclaren,Right
213321,T. Jurić,Right
202208,D. Petratos,Right
182440,R. Kruse,Right
51412,T. Cahill,Right
236258,N. Loyola,Right
226002,M. Araujo,Right
,,-1
,,-1
204539,L. Advíncula,Right
196435,C. Ramos,Right
196688,A. Corzo,Right
168580,A. Rodríguez,1
221664,W. Cartagena,Right
221664,W. Cartagena,0
236264,P. Aquino,Right
220673,R. Tapia,Right
,,-1
204542,Y. Yotún,Right
211124,P. Hurtado,1
223637,A. Polo,Right
,,-1
204538,R. Ruidíaz,Right
158133,J. Farfán,Right
,,-1
213661,A. Christensen,Right
202849,J. Vestergaard,Right
199748,J. Knudsen,Right
193133,J. Stryger Larsen,1
190633,H. Dalsgaard,Right
,,-1
,,-1
217605,L. Lerager,Right
,,-1
190460,C. Eriksen,Right
,,-1
,,-1
158676,W. Kvist,Right
159240,M. Krohn-Dehli,Right
228687,K. Dolberg,Right
212196,P. Sisto,Right
201943,A. Cornelius,Right
,,-1
193290,M. Braithwaite,Right
199852,N. Jørgensen,1
211256,N. Tagliafico,Right
201862,M. Rojo,Right
192366,N. Otamendi,Right
179847,F. Fazio,Right
183892,G. Mercado,Right
173306,C. Ansaldi,Right
,,-1
226226,G. Lo Celso,Right
,,-1
188988,M. Lanzini,Right
190972,E. Salvio,Right
,,-1
183898,A. Di María,Right
158963,L. Biglia,Right
224254,C. Pavón,Right
211110,P. Dybala,Right
224334,M. Acuña,Right
167664,G. Higuaín,Right
153079,S. Agüero,Right
,,-1
221422,S. Ingason,Right
,,-1
,,-1
179899,A. Skúlason,Right
183122,B. Sævarsson,Right
,,-1
224418,S. Friðjónsson,Right
211177,A. Traustason,Right
,,-1
,,-1
189167,A. Gunnarsson,Right
,,-1
166851,K. Árnason,Right
175789,B. Bjarnason,Right
160770,O. Skúlason,Right
,,-1
,,-1
195586,A. Finnbogason,Right
,,-1
173667,R. Gíslason,Right
,,-1
215930,T. Jedvaj,Right
203890,S. Vrsaljko,Right
,,-1
195086,D. Lovren,Right
,,-1
,,-1
,,-1
,,-1
,,-1
,,-1
201144,M. Badelj,2
,,-1
,,-1
,,-1
229593,M. Pjaca,Right
,,-1
,,-1
,,-1
,,-1
232693,C. Awaziem,Right
224213,T. Ebuehi,Right
,,-1
212054,B. Idowu,Right
213414,W. Troost-Ekong,Right
207624,K. Omeruo,Right
,,-1
185089,E. Echiéjilé,Right
234457,P. Etebo,Right
226790,O. Ndidi,Right
213655,A. Iwobi,Right
202934,O. Onazi,Right
190665,J. Obika,2
201327,F. Ogude,Right
172962,V. Moses,Right
,,-1
225719,K. Iheanacho,Right
219496,Simy,Right
201818,A. Musa,Right
,,-1
207865,Marquinhos,Right
230509,Danilo Sacrio,5
216373,Marcelo Goiano,2
,,-1
,,-1
164240,Thiago Silva,Right
164169,Filipe Luís,Right
168609,Miranda,Right
205346,R. Fredericks,3
200145,Casemiro,Right
,,-1
230857,J. Da Costa,2
188803,Taison,Right
187961,Paulinho,Right
135507,Fernandinho,Right
169195,Renato Augusto,1
230666,Gabriel Jesus,Right
201942,Roberto Firmino,Right
190871,Neymar,Right
180403,Willian,Right
229237,M. Akanji,Right
221491,N. Elvedi,Right
,,-1
210047,F. Schär,Right
205267,I. Rodríguez,6
184501,M. Lang,1
108080,S. Lichtsteiner,Right
162893,J. Djourou,Right
229261,D. Zakaria,Right
202024,R. Freuler,Right
199503,G. Xhaka,Right
193348,X. Shaqiri,Right
190059,S. Zuber,Right
158438,Gelson Fernandes,1
,,-1
161805,V. Behrami,Right
222357,B. Embolo,Right
,,-1
,,-1
,,-1
,,0
213064,F. Calvo,1
232230,R. Matarrita,Right
,,-1
216811,K. Waston,Right
195001,Iván González,4
198553,C. Gamboa,Right
212772,O. Duarte,Right
198335,B. Oviedo,Right
216810,Y. Tejeda,Right
229996,J. Venegas,Right
,,-1
175753,C. Bolaños,Right
,,-1
,,-1
,,-1
,,-1
231976,J. Campbell,Right
202896,M. Ureña,Right
,,-1
,,-1
,,-1
,,-1
,,-1
181816,A. Rukavina,Right
185103,A. Kolarov,Right
,,-1
,,-1
,,-1
,,-1
,,-1
,,-1
,,-1
,,-1
,,-1
239339,V. Jovic,Right
,,-1
,,-1
,,-1
189757,A. Prijović,Right
212622,J. Kimmich,Right
207862,M. Ginter,2
212190,N. Süle,Right
205452,A. Rüdiger,Right
,,-1
178603,M. Hummels,Right
183907,J. Boateng,Right
209658,L. Goretzka,Right
202166,J. Draxler,Right
208334,J. Hector,Right
,,-1
189251,S. Rudy,Right
182521,T. Kroos,Right
179846,S. Khedira,Right
176635,M. Özil,Right
212188,T. Werner,1
212194,J. Brandt,Right
188350,M. Reus,Right
189596,T. Müller,1
,,-1
235844,E. Álvarez,1
212888,C. Salcedo,Right
192012,D. Reyes,1
,,-1
173432,H. Moreno,Right
171896,H. Ayala,Right
,,-1
226045,J. Gallardo,Right
170370,J. dos Santos,1
156519,H. Herrera,2
192350,J. Aquino,Right
186307,M. Fabián,Right
171897,A. Guardado,Right
221992,H. Lozano,Right
204838,R. Jiménez,Right
193165,J. Corona,1
,,-1
170369,G. dos Santos,Right
158543,O. Peralta,Right
169416,C. Vela,Right
207555,F. Helander,Right
207650,E. Krafth,Right
212678,L. Augustinsson,Right
221660,V. Lindelöf,Right
194201,P. Jansson,1
176942,M. Lustig,Right
156713,A. Granqvist,Right
187916,M. Olsson,2
207553,M. Rohdén,Right
207554,V. Claesson,Right
,,-1
208448,E. Forsberg,Right
189207,J. Durmaz,Right
181318,A. Ekdal,Right
164459,S. Larsson,Right
177448,G. Svensson,Right
,,-1
199602,J. Guidetti,2
176794,O. Toivonen,Right
176733,M. Berg,1
,,-1
211005,Jang Hyeon Soo,Right
,,-1
200577,Lee Yong,1
208056,Jeon Hyeon Chul,2
,,-1
,,-1
,,-1
,,-1
,,-1
,,-1
,,-1
,,-1
,,-1
,,-1
,,-1
,,-1
,,-1
,,-1
,,-1
197837,D. Boyata,Right
202371,T. Meunier,Right
184087,T. Alderweireld,Right
172871,J. Vertonghen,Right
157304,T. Vermaelen,Right
139720,V. Kompany,Right
216393,Y. Tielemans,Right
208330,A. Januzaj,Right
212501,L. Dendoncker,Right
208418,Y. Carrasco,Right
203486,T. Hazard,Right
,,-1
200529,N. Chadli,Right
177413,A. Witsel,Right
176944,M. Fellaini,Right
162240,M. Dembélé,1
204529,M. Batshuayi,Right
192505,R. Lukaku,Right
175943,D. Mertens,Right
183277,E. Hazard,Right
237841,M. Murillo,2
222587,F. Escobar,2
187259,L. Ovalle,Right
217054,H. Cummings,Right
195020,D. Davis,Right
197154,A. Machado,Right
214506,R. Torres,1
,,-1
,,-1
,,-1
,,-1
217047,A. Godoy,1
190607,D. Quintero,Right
215163,A. Cooper,Right
174732,G. Gómez,Right
174732,G. Gómez,0
,,-1
174754,G. Torres,1
174754,G. Torres,0
,,-1
,,-1
,,-1
,,-1
237548,O. Haddadi,Right
,,-1
207788,S. Ben Youssef,Right
,,-1
,,-1
,,-1
,,-1
,,-1
,,-1
220029,S. Khaoui,Right
225126,E. Skhiri,Right
,,-1
205257,N. Sliti,Right
,,-1
,,-1
,,-1
,,-1
231281,T. Alexander-Arnold,Right
203574,J. Stones,Right
203263,H. Maguire,Right
186345,K. Trippier,Right
194957,P. Jones,1
183885,K. Walker,2
169595,D. Rose,Right
164468,G. Cahill,Right
152908,A. Young,1
213666,R. Loftus-Cheek,Right
202335,E. Dier,Right
207494,J. Lingard,2
211117,D. Alli,1
183427,F. Delph,Right
,,-1
231677,M. Rashford,Right
202652,R. Sterling,Right
208830,J. Vardy,Right
202126,H. Kane,1
186146,D. Welbeck,Right
220570,J. Bednarek,Right
,,-1
190547,K. Glik,Right
189118,Thiago Cionek,Right
173771,L. Piszczek,Right
185010,M. Pazdan,Right
,,-1
221791,R. Kurzawa,1
211408,K. Linetty,Right
,,-1
,,-1
197242,G. Krychowiak,Right
148564,S. Peszko,Right
186347,M. Rybus,Right
,,-1
221168,D. Kownacki,Right
205175,A. Milik,Right
201013,L. Teodorczyk,Right
188545,R. Lewandowski,Right
,,-1
237156,M. Wagué,Right
215699,Y. Sabaly,Right
201956,S. Sané,Right
,,-1
,,-1
189944,L. Gassama,Right
221000,Badou Ndiaye,Right
,,-1
215528,K. Karami,2
193474,I. Gueye,Right
186801,C. Kouyaté,Right
188879,A. N'Diaye,1
235353,I. Sarr,Right
,,-1
208722,S. Mané,Right
211321,M. Konaté,Right
204077,M. Niang,1
193554,D. Sakho,1
187084,M. Diouf,Right
,,-1
221983,M. Sánchez,Right
226627,T. Minamino,Right
214026,J. Mojica,1
214040,F. Fabra,Right
204259,S. Arias,Right
198581,O. Murillo,Right
,,-1
213991,J. Lerma,Right
214394,W. Barrios,Right
214047,M. Uribe,Right
210513,J. Quintero,Right
198710,J. Rodríguez,1
193082,J. Cuadrado,Right
182882,C. Sánchez,1
226632,P. Aguilar,2
235754,Borja Herrera,5
219411,J. Izquierdo,Right
199110,L. Muriel,Right
207664,C. Bacca,Right
167397,Falcao,Right
232870,N. Ueda,Right
232869,G. Shoji,Right
232487,W. Endo,Right
207472,G. Sakai,Right
208520,H. Sakai,Right
194359,Y. Nagatomo,Right
191648,M. Yoshida,Right
194361,T. Makino,Right
233147,R. Oshima,Right
232883,G. Shibasaki,Right
222987,H. Yamaguchi,Right
191388,T. Usami,Right
217648,G. Haraguchi,Right
189358,S. Kagawa,Right
,,-1
205114,T. Inui,Right
181098,M. Hasebe,Right
,,-1
,,-1
194365,S. Okazaki,Right
